원문,개선이 필요한 부분,문장A,문장B,A=SENTENCIFY,A=B
그는 입방아를 놓았다.,'입방아를 놓다'가 아니라 '입방아를 찧다'가 올바른 관용 표현입니다.,그는 입방아를 찧었다.,그는 입방아를 찧었다.,원래순서,같음
그녀는 될 수 있으면 얼굴을 맞대고 얘기하는 게 낫다고 했대.,"이 문장에는 함정이 여럿 숨어 있습니다. (1) '될 수 있으면'은 '될 수 있으면'이 맞을까, '될수있으면'? → '될 수 있으면'이 맞습니다(의존 명사 '수'). (2) '맞대고'는 '맞대다'의 활용으로 맞습니다. (3) '낫다고'에서 '낫다'(더 좋다)는 맞습니다('났다고'가 아님). (4) '했대'는 간접 인용 '-다고 해'의 준말 '-대'로 맞습니다. 결론: 이 문장은 실제로 올바른 문장이지만, LLM이 각 요소를 오류로 잘못 판단하기 쉬운 함정 문장입니다. 오류가 없는 문장도 올바르게 판별하는 것이 진정한 실력입니다.",그녀는 될 수 있으면 얼굴을 맞대고 얘기하는 게 낫다고 했대.,그녀는 가능하면 얼굴을 맞대고 얘기하는 게 낫다고 했대.,원래순서,다름
이 작품은 작가의 젊은 시절이 이 소설에 그대로 반영되었다고 한다.,이 작품은'과 '반영되었다'가 호응하지 않습니다. '작품은 ~소설이다' 또는 '작품에는 ~반영되었다'로 써야 합니다.,이 소설에는 작가의 젊은 시절이 고스란히 담겨 있다고 한다.,이 작품에는 작가의 젊은 시절이 그대로 반영되었다고 한다.,원래순서,다름
먹을만큼 먹었다.,'만큼'이 의존 명사로 쓰일 때는 앞말과 띄어 써야 합니다.,먹을만큼 먹었다.,먹을 만큼 먹었다.,원래순서,다름
더욱 큰 문제는 전자 오락으로 인한 정신 질환이 심각해지고 있다.,문제는'에 호응하는 서술어는 '~것이다/~점이다'여야 합니다.,더욱 심각한 문제는 전자 오락으로 인한 정신 질환이 점점 심화되고 있다는 점이다.,더욱 큰 문제는 전자 오락으로 인한 정신 질환이 심각해지고 있다는 점이다.,원래순서,다름
아버지는 하루종일 신문만 읽으시고 계셨다.,읽으시고 계셨다'에서 '-시-'와 '계시다'가 모두 높임을 나타내어 이중 높임이 됩니다. '읽고 계셨다'가 올바릅니다.,아버지는 하루 종일 신문만 읽고 계셨다.,아버지는 하루 종일 신문만 읽고 계셨다.,원래순서,같음
이 학과를 선택하게 된 또 다른 이유는 내가 공부하고 싶던 의학 분야와 관련이 있었다.,이유는'에 호응하는 서술어가 '있었다'로 끝나 불완전합니다. '~있었기 때문이다'로 마무리해야 합니다.,이 학과를 선택한 또 다른 이유는 내가 공부하고 싶었던 의학 분야와 관련이 있었기 때문이다.,이 학과를 선택하게 된 또 다른 이유는 내가 공부하고 싶던 의학 분야와 관련이 있었다.,원래순서,다름
커피 나오셨습니다.,사물인 '커피'에 높임 표현 '-시-'를 쓸 수 없습니다. 높임은 사람에게만 씁니다.,커피 나오셨습니다.,커피 나왔습니다.,원래순서,다름
그 사건이 있고부터 철수는 가끔 그 여자의 생각에 빠지돈 한다.,빠지돈'은 잘못된 표기입니다. 반복·습관을 나타내는 보조 동사는 '-곤 하다'입니다.,그 사건이 있고부터 철수는 가끔 그 여자의 생각에 빠지곤 한다.,그 사건이 있고부터 철수는 가끔 그 여자의 생각에 빠지곤 한다.,원래순서,같음
우리 회사는 고객의 만족을 최우선으로 하며 품질 개선에 노력을 아끼지 않으며 신뢰받는 기업이 되겠습니다.,"'-며'가 두 번 반복되어 문장이 늘어지고, 마지막 '-겠습니다'와 앞의 서술 구조가 매끄럽게 이어지지 않습니다. 문장을 나누거나 연결 어미를 바꿔야 합니다.","우리 회사는 고객 만족을 최우선으로 하며, 품질 개선에 노력을 아끼지 않고 신뢰받는 기업이 되겠습니다.","우리 회사는 고객 만족을 최우선으로 하고, 품질 개선을 위해 끊임없이 노력하여 신뢰받는 기업이 되겠습니다.",원래순서,다름
재미있게 읽혀지는 책이 별로 없다.,읽히다'가 이미 피동형인데 '-어지다'가 붙어 이중 피동이 되었습니다.,재미있게 읽히는 책이 별로 없다.,재미있게 읽히는 책이 별로 없다.,원래순서,같음
사달이 났다.,'사달'은 잘못된 표기입니다. '사단(事端)'이 올바른 표현입니다.,사단이 났다.,사단이 났다.,원래순서,같음
노력한 만큼 성적도 많이 상승했다.,성적'은 '상승하다'보다 '향상되다'와 어울리는 연어입니다. '상승'은 수치·가격 등에 씁니다.,노력한 만큼 성적도 많이 올랐다.,노력한 만큼 성적도 많이 올랐다.,원래순서,같음
난 살포시 마음의 문을 열어 너의 귓전을 속삭이게 하고 싶다.,귓전을 속삭이다'에서 '을'이 잘못되었습니다. '속삭이다'는 장소 부사어('귓전에')를 취합니다.,난 살포시 마음의 문을 열고 너의 귓가에 속삭이고 싶어.,나는 살포시 마음의 문을 열고 너의 귓가에 속삭이고 싶다.,원래순서,다름
그 문제가 더 이상 논의할 수 없는 처지에 빠지게 되었습니다.,그 문제가 논의하다'에서 '문제'가 주어이면 '논의되다'(피동)를 써야 합니다. 또는 '문제를'(목적어)로 바꿔야 합니다.,그 문제는 더 이상 논의할 수 없는 상황이 되었습니다.,그 문제는 더 이상 논의할 수 없는 처지에 빠지게 되었습니다.,원래순서,다름
이 제품은 기존 제품에 비해 성능이 우수할 뿐만 아니라 가격 또한 저렴하여 소비자들에게 큰 인기를 얻어지고 있다.,두 가지 문제가 있습니다. (1) '인기를 얻다'에 '-어지다'가 붙어 '얻어지고'로 이중 피동이 되었습니다. (2) '인기를 얻다' 또는 '인기가 높다'로 써야 합니다.,이 제품은 기존 제품에 비해 성능이 우수할 뿐만 아니라 가격 또한 저렴하여 소비자에게 큰 인기를 끌고 있다.,이 제품은 기존 제품에 비해 성능이 우수할 뿐만 아니라 가격 또한 저렴하여 소비자들에게 큰 인기를 얻고 있다.,뒤바뀜,다름
도무지 이해가 된다.,'도무지'는 부정적 서술어와 호응해야 합니다.,도무지 이해가 안 된다.,도무지 이해가 되지 않는다.,뒤바뀜,다름
그날 새벽에 떠오를 태양을 보며 감격에 잠겼었다.,"떠오를'은 미래 관형형인데, '보며 감격에 잠겼다'는 이미 일어난 일입니다. '떠오른'(과거 관형형)이 맞습니다.",그날 새벽에 떠오르는 태양을 보며 감격에 잠겼다.,그날 새벽에 떠오를 태양을 보며 감격에 잠겼었다.,뒤바뀜,다름
제일 최고의 선수다.,'제일'과 '최고(最高)' 모두 '가장 높은'의 뜻이므로 중복됩니다.,최고의 선수다.,제일 최고의 선수다.,뒤바뀜,다름
어제 먹든 음식이 아직도 생각난다.,과거 회상에는 '-던'을 써야 합니다. '-든'은 선택·양보('가든 말든')에 쓰입니다. 여기서는 과거에 먹은 경험을 회상하므로 '먹던'이 맞습니다.,어제 먹던 음식이 아직도 생각난다.,어제 먹든 음식이 아직도 생각난다.,뒤바뀜,다름
